titre,famille_medicament,cas_utilisation,interraction_substance,grossesse_allaitement_fertilite,effet_indesirable,contre_indication,posologie
NUTRIVISC,Suppléance lacrymale,Ce collyre a un effetlubrifiant et mouillant à la surface de l'œil. Il compense une insuffisance de sécrétion naturelle de larmes.Il est utilisé dans le traitement de la sécheresse oculaire due à une insuffisance lacrymale (œil sec).,Ce collyre peut interagir avec d'autres collyres : respectez un intervalle de 15 minutes entre deux instillations et administrez ce collyre en dernier.,Ce médicament peut être prescrit si besoin pendant la grossesse ou l'allaitement.,"Vision trouble, douleur, démangeaisons ou irritation oculaires, sensation transitoire de brûlure ou de paupières collées, œil rouge.Allergie oculaire.",,"Tirer la paupière inférieure vers le bas tout en regardant vers le haut et déposer un goutte de collyre entre la paupière et le globe oculaire (cul-de-sac conjonctival).Posologie usuelle : Adulte : 1 goutte, 4   fois par jour ou plus lorsqu'une sécheresse de l'œil se fait sentir.Évitez de mettre l'embout du flacon en contact avec l'œil.L'application correcte du produit peut nécessiter une aide.Ne conservez pas le flacon plus de 4 semaines après une première utilisation."
NUX VOMICA COMPLEXE No 49,Homéopathie,"Ce médicament est un complexe (association) de composants homéopathiques.Il est utilisé dans le traitement homéopathique des indigestions avec nausées, vomissements et diarrhées.",,"En raison de la présence d'alcool, ce médicament est déconseillé pendant la grossesse et l'allaitement.",,"Ce médicament ne doit pas être utilisé chez l'enfant de moins de 2 ans.Ce médicament contient de l'alcool : 221 mg par dose de 20 gouttes, soit l'équivalent de 5,5 ml  (environ 1 cuillère à café) de bière. Il faut en tenir compte en cas d'insuffisance hépatique, d'épilepsie et chez l'enfant.",
ODDIBIL,Phytothérapie,"Ce médicament contient un extrait de plante connue pour favoriser la production de bile et sa sécrétion dans l'intestin.Il est traditionnellement utilisé pour soulager les digestions difficiles (tels que sensation de satiété, ballonnements et digestion lente).",,"Ce médicament contient une plante présumée sans danger pendant la grossesse ou l'allaitement. Néanmoins, par mesure de prudence, ne l'utilisez pas sans prendre l'avis de votre pharmacien ou de votre médecin.","Liés à la présence d'huile d'arachide : urticaire, choc anaphylactique.","Ce médicament ne doit pas être utilisé dans les cas suivants :allergie à l'arachide ou au soja, calcul susceptible d'obstruer  voies biliaires, hépatite.Si les symptômes persistent plus de 2 semaines après le début du traitement, consultez votre médecin.","Les comprimés doivent être avalés avec un verre d'eau, avant les principaux repas et au coucher.Posologie usuelle :Adulte de plus de 18 ans : 1 comprimé, 4 fois par jour.Une alimentation équilibrée, une mastication lente, la suppression des aliments difficiles à digérer et des boissons alcoolisées permettent souvent d'atténuer les troubles de la digestion.Ce médicament peut être en accès libre (ou accès direct) dans certaines pharmacies ; dans ce cas, faites valider votre choix par votre pharmacien."
OENANTHE CROCATA COMPLEXE No 78,Homéopathie,"Ce médicament est un complexe (association) de composants homéopathiques.Il est utilisé dans le traitement homéopathique dans l'hyperactivité (troubles de l'attention, agressivité, colère, retard scolaire, anxiété, troubles du sommeil).",,"En raison de la présence d'alcool, ce médicament est déconseillé pendant la grossesse et l'allaitement.",,"Ce médicament ne doit pas être utilisé chez l'enfant de moins de 6 ans.Cette solution buvable contient de l'alcool (174 mg d'alcool pour 20 gouttes, soit l'équivalent de 4,3 ml de bière ou 1,7 ml de vin). Il faut en tenir compte en cas d'épilepsie ou d'insuffisance hépatique.","Ce médicament doit être pris de préférence à distance des repas.Cette solution buvable est fortement alcoolisée : les gouttes doivent être diluées dans un peu d'eau et gardées quelques secondes sous la langue.Posologie usuelle :Adulte : 20 gouttes, 3 fois par jour, pendant 1 mois maximum.Enfant de 6 à 12 ans : 10 gouttes, 3 fois par jour pendant 5 jours maximum et uniquement après avis médical.Le flacon ne doit pas être conservé plus de 6 mois après ouverture : pensez à noter la date de première utilisation sur la boîte."
OLIGOSOL BISMUTH,Oligo-élément,"Ce médicament appartient à la famille des éléments minéraux traces (oligo-éléments).Il est utilisé comme modificateur de terrain, en particulier au cours des infections virales de la gorge, du nez et des oreilles, et dans les états grippaux.",,"Aux doses préconisées, les oligo-éléments sont présumés sans danger pendant la grossesse ou l'allaitement. Néanmoins, par mesure de prudence, ne les utilisez pas sans prendre l'avis de votre pharmacien ou de votre médecin.",,,
OLIGOSOL COBALT,Oligo-élément,Ce médicament appartient à la famille des éléments minéraux traces (oligo-éléments).Il est utilisé comme modificateur de terrain dans les états migraineux.,,"Aux doses préconisées, les oligo-éléments sont présumés sans danger pendant la grossesse ou l'allaitement. Néanmoins, par mesure de prudence, ne les utilisez pas sans prendre l'avis de votre pharmacien ou de votre médecin.",,,
OLIGOSOL CUIVRE-OR-ARGENT,Oligo-élément,"Ce médicament appartient à la famille des éléments minéraux traces (oligo-éléments).Il est utilisé comme modificateur de terrain, en particulier dans les convalescences de maladies infectieuses et les états de fatigue.",,"Aux doses préconisées, les oligo-éléments sont présumés sans danger pendant la grossesse ou l'allaitement. Néanmoins, par mesure de prudence, ne les utilisez pas sans prendre l'avis de votre pharmacien ou de votre médecin.",,,
OLIGOSOL FLUOR,Oligo-élément,"Ce médicament appartient à la famille des éléments minéraux traces (oligo-éléments).Il est utilisé comme modificateur de terrain, en particulier au cours des atteintes mineures des ligaments.",,"Aux doses préconisées, les oligo-éléments sont présumés sans danger pendant la grossesse ou l'allaitement. Néanmoins, par mesure de prudence, ne les utilisez pas sans prendre l'avis de votre pharmacien ou de votre médecin.",,,
OLIGOSOL LITHIUM,Oligo-élément,"Ce médicament appartient à la famille des éléments minéraux traces (oligo-éléments).Il est utilisé comme modificateur de terrain, en particulier en cas d'irritabilité ou de troubles légers du sommeil, chez l'adulte et chez l'enfant de plus de 6 ans.",,"Le lithium utilisé à forte dose dans le traitement de certains troubles nerveux peut provoquer des malformations chez l'enfant à naître. Le risque lié à l'utilisation de lithium sous forme d'oligo-éléments n'est pas connu ; par mesure de prudence, son utilisation est à éviter pendant la grossesse et  l'allaitement, sauf avis médical contraire.",,,
OLIGOSOL MAGNÉSIUM,Oligo-élément,"Ce médicament appartient à la famille des éléments minéraux traces (oligo-éléments).Il est utilisé comme modificateur de terrain, en particulier dans certains dérèglements du système neurovégétatif et dans les troubles regroupés sous le terme de spasmophilie.",,"Aux doses préconisées, les oligo-éléments sont présumés sans danger pendant la grossesse ou l'allaitement. Néanmoins, par mesure de prudence, ne les utilisez pas sans prendre l'avis de votre pharmacien ou de votre médecin.",,,
OLIGOSOL MANGANÈSE,Oligo-élément,"Ce médicament appartient à la famille des éléments minéraux traces (oligo-éléments).Il est utilisé comme modificateur de terrain, en particulier au cours des allergies.",,"Aux doses préconisées, les oligo-éléments sont présumés sans danger pendant la grossesse ou l'allaitement. Néanmoins, par mesure de prudence, ne les utilisez pas sans prendre l'avis de votre pharmacien ou de votre médecin.",,,
OLIGOSOL MANGANÈSE-COBALT,Oligo-élément,"Ce médicament appartient à la famille des éléments minéraux traces (oligo-éléments).Il est utilisé comme modificateur de terrain, en particulier dans certains dérèglements du système neurovégétatif.",,"Aux doses préconisées, les oligo-éléments sont présumés sans danger pendant la grossesse ou l'allaitement. Néanmoins, par mesure de prudence, ne les utilisez pas sans prendre l'avis de votre pharmacien ou de votre médecin.",,,
OLIGOSOL MANGANÈSE-CUIVRE,Oligo-élément,"Ce médicament appartient à la famille des éléments minéraux traces (oligo-éléments).Il est utilisé comme modificateur de terrain, en particulier dans les états infectieux ou allergiques touchant le nez, la gorge et les oreilles.",,"Aux doses préconisées, les oligo-éléments sont présumés sans danger pendant la grossesse ou l'allaitement. Néanmoins, par mesure de prudence, ne les utilisez pas sans prendre l'avis de votre pharmacien ou de votre médecin.",,,
OLIGOSOL MANGANÈSE-CUIVRE-COBALT,Oligo-élément,"Ce médicament appartient à la famille des éléments minéraux traces (oligo-éléments).Il est utilisé comme modificateur de terrain, en particulier dans les états de fatigue.",,"Aux doses préconisées, les oligo-éléments sont présumés sans danger pendant la grossesse ou l'allaitement. Néanmoins, par mesure de prudence, ne les utilisez pas sans prendre l'avis de votre pharmacien ou de votre médecin.",,,
OLIGOSOL PHOSPHORE,Oligo-élément,"Ce médicament appartient à la famille des éléments minéraux traces (oligo-éléments).Il est utilisé comme modificateur de terrain, en particulier dans certains dérèglements du système neurovégétatif et dans les troubles regroupés sous le terme de spasmophilie.",,"Aux doses préconisées, les oligo-éléments sont présumés sans danger pendant la grossesse ou l'allaitement. Néanmoins, par mesure de prudence, ne les utilisez pas sans prendre l'avis de votre pharmacien ou de votre médecin.",,,
OLIGOSOL POTASSIUM,Oligo-élément,"Ce médicament appartient à la famille des éléments minéraux traces (oligo-éléments).Il est utilisé comme modificateur de terrain, en particulier dans les crampes et les douleurs musculaires.",,"Aux doses préconisées, les oligo-éléments sont présumés sans danger pendant la grossesse ou l'allaitement. Néanmoins, par mesure de prudence, ne les utilisez pas sans prendre l'avis de votre pharmacien ou de votre médecin.",,,"La solution est prise par voie sublinguale, de préférence le matin à jeun ou éventuellement 15 minutes avant un repas, ou le soir au coucher : garder le contenu de l'ampoule sous la langue 1 à 2 minutes avant de l'avaler.Posologie usuelle :Adulte : 1 à 3 ampoules par jour.Les crampes survenant après un effort physique sont banales. En revanche, celles qui surviennent au repos ou au cours de la nuit peuvent traduire un déséquilibre du métabolisme : consultez votre médecin si les crampes durent plus de quelques jours."
OLIGOSOL SÉLÉNIUM,Oligo-élément,"Ce médicament appartient à la famille des éléments minéraux traces (oligo-éléments).Il est utilisé comme modificateur de terrain, en particulier en cas d'affections des muscles et de la peau.",,"Aux doses préconisées, les oligo-éléments sont présumés sans danger pendant la grossesse ou l'allaitement. Néanmoins, par mesure de prudence, ne les utilisez pas sans prendre l'avis de votre pharmacien ou de votre médecin.",,,
OLIGOSOL ZINC,Oligo-élément,"Ce médicament appartient à la famille des éléments minéraux traces (oligo-éléments).Il est utilisé comme modificateur de terrain, en particulier au cours des affections de la peau.",,"Aux doses préconisées, les oligo-éléments sont présumés sans danger pendant la grossesse ou l'allaitement. Néanmoins, par mesure de prudence, ne les utilisez pas sans prendre l'avis de votre pharmacien ou de votre médecin.",,,
OLIGOSOL ZINC-CUIVRE,Oligo-élément,"Ce médicament appartient à la famille des éléments minéraux traces (oligo-éléments).Il est utilisé comme modificateur de terrain, en particulier en cas de troubles fonctionnels gynécologiques à la puberté, à la ménopause ou avant les règles.",,L'effet de ce médicament pendant la grossesse ou l'allaitement est mal connu. L'évaluation du risque éventuel lié à son utilisation est individuelle : demandez conseil à votre pharmacien ou à votre médecin.,,,
OLIGOSOL ZINC-NICKEL-COBALT,Oligo-élément,"Ce médicament appartient à la famille des éléments minéraux traces (oligo-éléments).Il est utilisé comme modificateur de terrain, en particulier au cours des régimes amaigrissants.",,"Aux doses préconisées, les oligo-éléments sont présumés sans danger pendant la grossesse ou l'allaitement. Néanmoins, par mesure de prudence, ne les utilisez pas sans prendre l'avis de votre pharmacien ou de votre médecin.",Affection de la peau de fréquence indéterminée.,,La solution est prise par voie sublinguale de préférence le matin à jeun ou éventuellement 15 minutes avant un repas ou le soir au coucher : garder le contenu de l'ampoule sous la langue 1 à 2 minutes avant de l'avaler.Posologie usuelle :Adulte : 2 ou 3 ampoules par jour.La prise de ce médicament ne dispense pas des mesures diététiques que peut vous conseiller votre médecin.
OLIGOSTIM COBALT,Oligo-élément,Ce médicament appartient à la famille des éléments minéraux traces (oligo-éléments).Il est utilisé comme modificateur de terrain dans les états migraineux.,,"Aux doses préconisées, les oligo-éléments sont présumés sans danger pendant la grossesse ou l'allaitement. Néanmoins, par mesure de prudence, ne les utilisez pas sans prendre l'avis de votre pharmacien ou de votre médecin.",,,
OLIGOSTIM CUIVRE,Oligo-élément,"Ce médicament appartient à la famille des éléments minéraux traces (oligo-éléments).Il est utilisé comme modificateur de terrain, en particulier dans les états grippaux et infectieux, et dans les affections rhumatismales inflammatoires.",,"Aux doses préconisées, les oligo-éléments sont présumés sans danger pendant la grossesse ou l'allaitement. Néanmoins, par mesure de prudence, ne les utilisez pas sans prendre l'avis de votre pharmacien ou de votre médecin.",,,
OLIGOSTIM CUIVRE-OR-ARGENT,Oligo-élément,"Ce médicament appartient à la famille des éléments minéraux traces (oligo-éléments).Il est utilisé comme modificateur de terrain, en particulier dans les convalescences de maladies infectieuses et les états de fatigue.",,"Aux doses préconisées, les oligo-éléments sont présumés sans danger pendant la grossesse ou l'allaitement. Néanmoins, par mesure de prudence, ne les utilisez pas sans prendre l'avis de votre pharmacien ou de votre médecin.",,,
OLIGOSTIM MAGNÉSIUM,Oligo-élément,"Ce médicament appartient à la famille des éléments minéraux traces (oligo-éléments).Il est utilisé comme modificateur de terrain, en particulier dans certains dérèglements du système neurovégétatif et dans les troubles regroupés sous le terme de spasmophilie.",,"Aux doses préconisées, les oligo-éléments sont présumés sans danger pendant la grossesse ou l'allaitement. Néanmoins, par mesure de prudence, ne les utilisez pas sans prendre l'avis de votre pharmacien ou de votre médecin.",,,
OLIGOSTIM MANGANÈSE,Oligo-élément,"Ce médicament appartient à la famille des éléments minéraux traces (oligo-éléments).Il est utilisé comme modificateur de terrain, en particulier dans les allergies.",,"Aux doses préconisées, les oligo-éléments sont présumés sans danger pendant la grossesse ou l'allaitement. Néanmoins, par mesure de prudence, ne les utilisez pas sans prendre l'avis de votre pharmacien ou de votre médecin.",,,
OLIGOSTIM MANGANÈSE-COBALT,Oligo-élément,"Ce médicament appartient à la famille des éléments minéraux traces (oligo-éléments).Il est utilisé comme modificateur de terrain, en particulier dans certains dérèglements du système neurovégétatif.",,"Aux doses préconisées, les oligo-éléments sont présumés sans danger pendant la grossesse ou l'allaitement. Néanmoins, par mesure de prudence, ne les utilisez pas sans prendre l'avis de votre pharmacien ou de votre médecin.",,,
OLIGOSTIM MANGANÈSE-CUIVRE,Oligo-élément,"Ce médicament appartient à la famille des éléments minéraux traces (oligo-éléments).Il est utilisé comme modificateur de terrain, en particulier dans les états infectieux ou allergiques touchant le nez, la gorge et les oreilles.",,"Aux doses préconisées, les oligo-éléments sont présumés sans danger pendant la grossesse ou l'allaitement. Néanmoins, par mesure de prudence, ne les utilisez pas sans prendre l'avis de votre pharmacien ou de votre médecin.",,,
OLIGOSTIM MANGANÈSE-CUIVRE-COBALT,Oligo-élément,"Ce médicament appartient à la famille des éléments minéraux traces (oligo-éléments).Il est utilisé comme modificateur de terrain, en particulier au cours des états de fatigue.",,"Aux doses préconisées, les oligo-éléments sont présumés sans danger pendant la grossesse ou l'allaitement. Néanmoins, par mesure de prudence, ne les utilisez pas sans prendre l'avis de votre pharmacien ou de votre médecin.",,,
OLIGOSTIM ZINC,Oligo-élément,"Ce médicament appartient à la famille des éléments minéraux traces (oligo-éléments).Il est utilisé comme modificateur de terrain, en particulier dans les cas d'affections de la peau.",,"Aux doses préconisées, les oligo-éléments sont présumés sans danger pendant la grossesse ou l'allaitement. Néanmoins, par mesure de prudence, ne les utilisez pas sans prendre l'avis de votre pharmacien ou de votre médecin.",,,
OLIGOSTIM ZINC-CUIVRE,Oligo-élément,"Ce médicament appartient à la famille des éléments minéraux traces (oligo-éléments).Il est utilisé comme modificateur de terrain, en particulier en cas de troubles fonctionnels à la puberté, à la ménopause ou avant les règles.",,,,,
OMACOR,Hypolipémiant,Ce médicament contient des acides gras essentiels qui ont la propriété faire baisser le taux de triglycérides dans le sang. Il diminue par ailleurs légèrement la capacité du sang à coaguler.Il est utilisé dans le traitement des excès de triglycérides persistant malgré un régime adapté et assidu.,Informez votre médecin ou votre pharmacien si vous prenez  un anticoagulant oral.,L'effet de ce médicament pendant la grossesse ou l'allaitement est mal connu : seul votre médecin peut évaluer le risque éventuel de son utilisation dans votre cas.,"Fréquents (1 à 10 % des personnes) : troubles gastro-intestinaux comprenant constipation, diarrhée, douleur abdominale, digestion difficile, flatulence, renvois, brûlure d'estomac, nausées ou vomissement ; fibrillation auriculaire.Peu fréquents (moins de 1 % des personnes) : saignement de nez, maux de tête, vertiges, hypotension, troubles du goût, goutte, hyperglycémie, hémorragie digestive, éruption cutanée.Rarement : urticaire, augmentation des transaminases.","Ce médicament ne doit pas être utilisé en cas d'allergie à l'arachide ou au soja (présence d'huile de soja).Des précautions sont nécessaires en cas d'allergie connue au poisson, de risque important d'hémorragie (intervention chirurgicale, traumatisme...), d'insuffisance rénale et chez la personne âgée de plus de 70 ans.Des analyses de sang régulières (dosage des transaminases) peuvent être recommandées chez les patients souffrant de troubles hépatiques.En cas de survenue de vertiges, d'une fatigue anormale, de palpitations ou d'un essoufflement, consultez votre médecin : il peut s'agir d'un trouble cardiaque nécessitant l'arrêt du traitement.","Les capsules doivent être avalées au cours  des repas, afin d'éviter les troubles digestifs.Posologie usuelle :Adulte : 2 à 4 capsules par jour.Le régime reste indispensable pendant toute la durée du traitement.Un régime pauvre en graisses animales n'est pas simple à suivre : les erreurs sont fréquentes. Demandez conseil à votre médecin, à votre pharmacien ou à un professionnel de la nutrition."
OMÉPRAZOLE BIOGARAN CONSEIL,Antisécrétoire gastrique,"Ce médicament appartient à la famille des inhibiteurs de la pompe à protons (IPP). Il diminue la sécrétion des acides gastriques et permet ainsi de combattre les troubles liés à l'acidité de l'estomac. Il agit de façon prolongée, mais retardée : la baisse de l'acidité de l'estomac demande un délai de quelques jours.Il est utilisé dans le traitement de courte durée des symptômes du reflux gastro-œsophagien (brûlures d'estomac, régurgitations...).","Ce médicament peut diminuer l’absorption de certains inhibiteurs de la protéase (tels que l'atazanavir) utilisés dans le traitement du VIH : risque de baisse de l'efficacité de l'antirétroviral.Informez par ailleurs votre médecin ou votre pharmacien si vous prenez des médicaments contenant du clopidogrel, de la digoxine, du tacrolimus, de la phénytoïne, de l'itraconazole ou du kétoconazole.","Grossesse :Aucun effet néfaste pour l'enfant à naître n'a été établi avec ce médicament. Néanmoins, par précaution, son usage pendant la grossesse est réservé aux situations pour lesquelles il n'existe pas d'alternative thérapeutique.Allaitement :Ce médicament passe dans le lait maternel. Néanmoins, aux doses préconisées, la possibilité d'un effet du médicament chez le nourrisson est très improbable.","Les plus fréquents (1 à 10 % des patients) : diarrhée, constipation, nausées, vomissements, douleurs abdominales, ballonnements, maux de tête.Fréquents : polypes bénins dans l'estomac.Peu fréquents : insomnie, somnolence, vertiges, étourdissement, fourmillement, rougeur cutanée, urticaire, démangeaisons, augmentation des transaminases.Rarement : troubles du goût, vision trouble, bouche sèche, agitation, confusion des idées, dépression, transpiration excessive, agressivité, hallucinations, douleurs articulaires ou musculaires, anomalies de la numération formule sanguine, gynécomastie, réaction allergique, photosensibilisation, hyponatrémie, hépatite, éruption cutanée potentiellement grave.Très occasionnellement, les inhibiteurs de la pompe à protons pourraient également provoquer le développement d'un lupus cutané. En cas d'éruption cutanée, notamment sur des zones exposées au soleil, consultez votre médecin sans tarder.","Ce médicament ne doit pas être associé avec les médicaments contenant du nelfinavir (qui n'est plus commercialisé en France).L'effet des inhibiteurs de la pompe à protons n'est pas immédiat. 2 ou 3 jours de traitement peuvent être nécessaires pour observer une amélioration des symptômes.Il est préférable de consulter un médecin dans les situations suivantes :troubles de la digestion apparaissant pour la première fois, ou si les troubles ont changé récemment ;troubles associés à une perte de poids ;difficulté à avaler ou gêne abdominale persistante ;antécédent d'ulcère de l'estomac ou de chirurgie digestive ;insuffisance hépatique ou jaunisse ;si vous devez subir un dosage de la Chromogranine A (utilisé pour le diagnostic de certaines tumeurs).Les personnes souffrant de reflux gastro-œsophagien doivent éviter d'utiliser des médicaments contenant de l'aspirine ou des AINS qui augmentent l'acidité de l'estomac. Le paracétamol est en revanche sans danger pour traiter les douleurs ou la fièvre.Conducteur : ce médicament peut provoquer parfois des étourdissements et des troubles de la vue.","Ce médicament doit être pris avant un repas. Il doit être avalé entier avec un  verre d'eau, sans être croqué ni écrasé.Pour les personnes  ne pouvant  avaler les comprimés, ceux-ci peuvent être dissous dans un verre d'eau non gazeuse, un jus de fruit ou une compote. La solution obtenue doit être bue dans les 30 minutes suivantes. Pour récupérer les éventuels microgranules déposés sur les parois, rincer le verre avec un peu d'eau et la boire.Posologie usuelle :Adulte : 1 comprimé par jour, le matin si les brûlures d'estomac surviennent en journée ou le soir si les brûlures d'estomac surviennent la nuit.Le traitement ne doit pas dépasser 2 semaines sans avis médical. En cas de persistance des symptômes après 7 jours de traitement ou de récidive à l'arrêt du traitement, des examens peuvent être nécessaires.Le traitement médicamenteux du reflux gastro-œsophagien ne se conçoit que lorsque les mesures simples suivantes n'ont pas permis de faire disparaître les symptômes :ne pas s'allonger dans les deux heures qui suivent un repas,ne pas se pencher en avant (plier les genoux pour ramasser les objets),ne pas porter de vêtements qui compriment l'abdomen (gaine...),surélever la tête du lit de 5 à 10 cm en plaçant des cales sous les pieds ou un oreiller épais sous le matelas,éviter les boissons gazeuses, préférer les aliments faciles à digérer.Ces conseils visent à empêcher le contenu acide de l'estomac de refluer dans l'œsophage pendant la digestion.Si vous êtes fumeur, la poursuite du tabagisme est un frein important au traitement ; la nicotine augmente l'acidité gastrique et réduit l'efficacité du muscle qui ferme la jonction entre l'œsophage et l'estomac."
OMÉPRAZOLE SANDOZ CONSEIL,Antisécrétoire gastrique,"Ce médicament appartient à la famille des inhibiteurs de la pompe à protons (IPP). Il diminue la sécrétion des acides gastriques et permet ainsi de combattre les troubles liés à l'acidité de l'estomac. Il agit de façon prolongée, mais retardée : la baisse de l'acidité de l'estomac demande un délai de quelques jours.Il est utilisé dans le traitement de courte durée des symptômes du reflux gastro-œsophagien (brûlures d'estomac, régurgitations...).","Ce médicament peut diminuer l’absorption de certains inhibiteurs de la protéase (tels que l'atazanavir) utilisés dans le traitement du VIH : risque de baisse de l'efficacité de l'antirétroviral.Informez par ailleurs votre médecin ou votre pharmacien si vous prenez des médicaments contenant du clopidogrel, de la digoxine, du tacrolimus, de la phénytoïne, de l'itraconazole ou du kétoconazole.","Grossesse :Aucun effet néfaste pour l'enfant à naître n'a été établi avec ce médicament. Néanmoins, par précaution, son usage pendant la grossesse est réservé aux situations pour lesquelles il n'existe pas d'alternative thérapeutique.Allaitement :Ce médicament passe dans le lait maternel. Néanmoins, aux doses préconisées, la possibilité d'un effet du médicament chez le nourrisson est très improbable.","Les plus fréquents (1 à 10 % des patients) : diarrhée, constipation, nausées, vomissements, douleurs abdominales, ballonnements, maux de tête.Fréquents : polypes bénins dans l'estomac.Peu fréquents : insomnie, somnolence, vertiges, étourdissement, fourmillement, rougeur cutanée, urticaire, démangeaisons, augmentation des transaminases.Rarement : troubles du goût, vision trouble, bouche sèche, agitation, confusion des idées, dépression, transpiration excessive, agressivité, hallucinations, douleurs articulaires ou musculaires, anomalies de la numération formule sanguine, gynécomastie, réaction allergique, photosensibilisation, hyponatrémie, hépatite, éruption cutanée potentiellement grave.Très occasionnellement, les inhibiteurs de la pompe à protons pourraient également provoquer le développement d'un lupus cutané. En cas d'éruption cutanée, notamment sur des zones exposées au soleil, consultez votre médecin sans tarder.","Ce médicament ne doit pas être associé avec les médicaments contenant du nelfinavir (qui n'est plus commercialisé en France).L'effet des inhibiteurs de la pompe à protons n'est pas immédiat. 2 ou 3 jours de traitement peuvent être nécessaires pour observer une amélioration des symptômes.Il est préférable de consulter un médecin dans les situations suivantes :troubles de la digestion apparaissant pour la première fois, ou si les troubles ont changé récemment ;troubles associés à une perte de poids ;difficulté à avaler ou gêne abdominale persistante ;antécédent d'ulcère de l'estomac ou de chirurgie digestive ;insuffisance hépatique ou jaunisse ;si vous devez subir un dosage de la Chromogranine A (utilisé pour le diagnostic de certaines tumeurs).Les personnes souffrant de reflux gastro-œsophagien doivent éviter d'utiliser des médicaments contenant de l'aspirine ou des AINS qui augmentent l'acidité de l'estomac. Le paracétamol est en revanche sans danger pour traiter les douleurs ou la fièvre.Conducteur : ce médicament peut provoquer parfois des étourdissements et des troubles de la vue.","Ce médicament doit être pris avant un repas. Il doit être avalé entier avec un  verre d'eau, sans être croqué ni écrasé.Pour les personnes  ne pouvant  avaler les comprimés, ceux-ci peuvent être dissous dans un verre d'eau non gazeuse, un jus de fruit ou une compote. La solution obtenue doit être bue dans les 30 minutes suivantes. Pour récupérer les éventuels microgranules déposés sur les parois, rincer le verre avec un peu d'eau et la boire.Posologie usuelle :Adulte : 1 comprimé par jour, le matin si les brûlures d'estomac surviennent en journée ou le soir si les brûlures d'estomac surviennent la nuit.Le traitement ne doit pas dépasser 2 semaines sans avis médical. En cas de persistance des symptômes après 7 jours de traitement ou de récidive à l'arrêt du traitement, des examens peuvent être nécessaires.Le traitement médicamenteux du reflux gastro-œsophagien ne se conçoit que lorsque les mesures simples suivantes n'ont pas permis de faire disparaître les symptômes :ne pas s'allonger dans les deux heures qui suivent un repas,ne pas se pencher en avant (plier les genoux pour ramasser les objets),ne pas porter de vêtements qui compriment l'abdomen (gaine...),surélever la tête du lit de 5 à 10 cm en plaçant des cales sous les pieds ou un oreiller épais sous le matelas,éviter les boissons gazeuses, préférer les aliments faciles à digérer.Ces conseils visent à empêcher le contenu acide de l'estomac de refluer dans l'œsophage pendant la digestion.Si vous êtes fumeur, la poursuite du tabagisme est un frein important au traitement ; la nicotine augmente l'acidité gastrique et réduit l'efficacité du muscle qui ferme la jonction entre l'œsophage et l'estomac."
